Songs ,Artist,Missing
Faded,SoulDecision feat. Thrust,Lyrics Link
Yes!,Chad Brock,Lyrics Link
I Hope You Dance,Lee Ann Womack and Sons Of The Desert,Lyrics Link
Better Off Alone,Alice Deejay,Lyrics Link
Dance With Me,Debelah Morgan,Lyrics Link
24/7,Kevon Edmonds,Lyrics Link
It Wasn’t Me,Shaggy feat. Ricardo “RikRok” Ducent,Lyrics Link
Put It On Me,Ja Rule feat. Lil’ Mo and Vita,Lyrics Link
I Hope You Dance,Lee Ann Womack and Sons Of The Desert,Lyrics Link
Get Ur Freak On,Missy “Misdemeanor” Elliott,Youtube Link
Izzo (H.O.V.A.),Jay-Z,Youtube Link
Nobody Wants To Be Lonely,Ricky Martin and Christina Aguilera,Lyrics Link
One Minute Man,Missy “Misdemeanor” Elliott,Youtube Link
Loverboy,Mariah Carey feat. Cameo,Lyrics Link
Dance With Me,Debelah Morgan,Lyrics Link
Oochie Wally,QB’s Finest feat. Nas and Braveheart’s,Lyrics Link
I Need a Girl (Part Two),"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",Lyrics Link
Hey Ma,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Lyrics Link
Work It,Missy “Misdemeanor” Elliott,Youtube Link
Move Bitch,Ludacris feat. Mystikal and Infamous 2.0,Youtube Link
We Thuggin’,Fat Joe feat. R. Kelly,Youtube Link
In Da Club,50 Cent,Lyrics Link
Drift Away,Uncle Kracker feat. Dobie Gray,Lyrics Link
Work It,Missy “Misdemeanor” Elliott,Youtube Link
’03 Bonnie & Clyde,Jay-Z feat. Beyonce Knowles,Youtube Link
Beautiful,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Youtube Link
Gossip Folks,Missy “Misdemeanor” Elliott feat. Ludacris,Youtube Link
Jenny from the Block,Jennifer Lopez feat. Styles and Jadakiss,Lyrics Link
Wanksta,50 Cent,Lyrics Link
19 Somethin’,Mark Wills,Lyrics Link
Turn Me On,Kevin Lyttle feat. Spragga Benz,Lyrics Link
Diary,Alicia Keys feat. Tony! Toni! Tone!,Lyrics Link
Dude,Beenie Man feat. Ms. Thing,Youtube Link
We Belong Together,Mariah Carey,Lyrics Link
Sugar (Gimme Some),"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Youtube Link
It’s Like That,Mariah Carey,Lyrics Link
Girlfight,Brooke Valentine feat. Lil Jon and Big Boi,Youtube Link
Give Me That,Webbie feat. Bun B,Youtube Link
Snap Yo Fingers,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,Lyrics Link
"Lean Wit It, Rock Wit It",Dem Franchize Boyz feat. Lil Peanut and Charlay,Lyrics Link
Ms. New Booty,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,Lyrics Link
I’m A Flirt,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),Lyrics Link
The Way I Live,Baby Boy Da Prince feat. Lil Boosie,Lyrics Link
Shortie Like Mine,Bow Wow feat. Chris Brown & Johnta Austin,Lyrics Link
Throw Some D’s,Rich Boy feat. Polow Da Don,Youtube Link
Outta My System,Bow Wow feat. T-Pain & Johnta Austin,Lyrics Link
Lolli Lolli (Pop That Body),"Three 6 Mafia feat. Project Pat, Young D and Superpower",Lyrics Link
She Got It,2 Pistols feat. T-Pain and Tay Dizm,Lyrics Link
Break Up,Mario feat. Gucci Mane and Sean Garrett,Lyrics Link
American Honey,Lady Antebellum,Lyrics Link
Stereo Love,Edward Maya & Vika Jigulina,Lyrics Link
 My Hitta,YG Featuring Jeezy & Rich Homie Quan ,Lyrics Link
 Bad,Wale Featuring Tiara Thomas Or Rihanna ,Lyrics Link
My Hitta,Yg feat. Jeezy and Rich Homie Quan,Lyrics Link
I’m The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",Lyrics Link
What Ifs,Kane Brown Featuring Lauren Alaina,Lyrics Link
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Lyrics Link
 SenoritaShawn Mendes & Camila Cabello,16 ,Lyrics Link
 A Lot,21 Savage,Lyrics Link
 Whiskey GlassesMorgan Wallen,53 ,Lyrics Link
5  Rockstar,DaBaby Featuring Roddy Ricch,Lyrics Link
13  Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Lyrics Link
17  Intentions,Justin Bieber Featuring Quavo,Lyrics Link
"23  10,000 Hours",Dan + Shay & Justin Bieber,Lyrics Link
24  WAP,Cardi B Featuring Megan Thee Stallion,Lyrics Link
35  Savage Love (Laxed – Siren Beat),Jawsh 685 x Jason Derulo,Lyrics Link
37  My Oh My,Camila Cabello Featuring DaBaby,Lyrics Link
39  Go Crazy,Chris Brown & Young Thug,Lyrics Link
40  High Fashion,Roddy Ricch Featuring Mustard,Lyrics Link
41  Laugh Now Cry Later,Drake Featuring Lil Durk,Lyrics Link
43  Death Bed,Powfu Featuring beabadoobee,Lyrics Link
44  Senorita,Shawn Mendes & Camila Cabello,Lyrics Link
47  Mood,24kGoldn Featuring iann dior,Lyrics Link
48  Rain On Me,Lady Gaga & Ariana Grande,Lyrics Link
49  For The Night,Pop Smoke Featuring Lil Baby & DaBaby,Lyrics Link
50  RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,Lyrics Link
52  Nobody But You,Blake Shelton Duet With Gwen Stefani,Lyrics Link
53  Trampoline,SHAED,Lyrics Link
56  If The World Was Ending,JP Saxe Featuring Julia Michaels,Lyrics Link
62  Godzilla,Eminem Featuring Juice WRLD,Lyrics Link
63  Bandit,Juice WRLD & YoungBoy Never Broke Again,Lyrics Link
64  Party Girl,StaySolidRocky,Lyrics Link
66  Popstar,DJ Khaled Featuring Drake,Lyrics Link
75  Suicidal,YNW Melly & Juice WRLD,Lyrics Link
81  Mood Swings,Pop Smoke Featuring Lil Tjay,Lyrics Link
84  Supalonely,BENEE Featuring Gus Dapperton,Lyrics Link
86  The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",Lyrics Link
