,Lyrics,Artist,Song
0,"[""I can feel the magic floating in the air\nBeing with you gets me that way\nI watch the sunlight dance across your face\nAnd I've never been this swept away\nAll my thoughts just seem to settle on the breeze\nWhen I'm lying wrapped up in your arms\nThe whole world just fades away\nThe only thing I hear is the beating of your heart"", ""Cause I can feel you breathe\nIt's washing over me\nAnd suddenly I'm melting into you\nThere's nothing left to prove\nBaby all we need is just to be\nCaught up in the touch\nSlow and steady rush\nBaby isn't that the way that love's supposed to be?\nI can feel you breathe\nJust breathe"", ""In a way I know my heart is waking up\nAs all the walls come tumbling down\nCloser than I've ever felt before\nAnd I know, and you know\nThere's no need for words right now"", ""Cause I can feel you breathe\nIt's washing over me\nAnd suddenly I'm melting into you\nThere's nothing left to prove\nBaby all we need is just to be\nCaught up in the touch\nSlow and steady rush\nBaby isn't that the way that love's supposed to be?\nI can feel you breathe\nJust breathe"", ""Caught up in the touch\nSlow and steady rush\nBaby isn't that the way that love's supposed to be?\nI can feel you breathe, just breathe\nI can feel the magic floating in the air\nBeing with you gets me that way""]",Faith Hill,Breathe
1,"['Y\nOooh yeah\nYeah, oh yeah\nAlright, oh oh', ""It's amazing how you knock me off my feet\nEvery time you come around me I get weak, oh yeah\nNobody ever made me feel this way, oh\nYou kiss my lips and then you take my breath away\nSo I wanna know"", ""I wanna know what turns you on\n(Yea, I'd like to know)\nSo I can be all that and more\n(I'd like to know, yea)\nI'd like to know what makes you cry\n(So)\nSo I can be the one who always make you smile"", ""Girl he never understood what you were worth, no\nAnd he never took the time to make it work, no\n(You deserve more loving, girl)\nBaby I'm the kind of man who shows concern, yes I do\nAnyway that I can please you, let me learn\nSo I wanna know"", ""I wanna know what turns you on\n(I'd wanna know)\nSo I can be all that and more\n(I'd like to know)\nI'd like to know what makes you cry\n(So)\nSo I can be the one who always makes you smile\n(Make you smile, baby)"", ""Tell me what I gotta do to please you\nBaby anything you say I'll do\n'Cause I only wanna make you happy\nFrom the bottom of my heart, it's true"", ""Tell me what I gotta do to please you\nBaby anything you say I'll do\n'Cause I only wanna make you happy\nFrom the bottom of my heart, it's true"", ""I wish that I could take a journey through your mind, alright\nAnd find emotions that you always try to hide babe, oh\nI do believe that there's a love you wanna share, oh oh\nI'll take good care of you lady, have no fear, oh\nSo I wanna know"", ""I wanna know what turns you on\n(I wanna know)\nSo I can be all that and more\n(And I'd like to know)\nI'd like to know what makes you cry\n(Oh yea)\nSo I can be the one who always makes you smile"", ""Oh tell me, tell me\nTell me what I gotta do to please you\nBaby anything you say I'll do\n'Cause I only wanna make you happy\nFrom the bottom of my heart, it's true"", ""Tell me what I gotta do to please you\nBaby anything you say I'll do\n'Cause I only wanna make you happy\nFrom the bottom of my heart, it's true\nYeah yeah yeah yeah\nI wanna know what turns you on\n(I'd like to know, I'd like to know, yea)\nSo I can be all that and more\n(I wanna know)\nI'd like to know what makes you cry\n(So)\nSo I can be the one who always makes you smile\n(I'd like to know, I wanna know)\nI wanna know what turns you on\n(Tell me girl)""]",Joe,I Wanna Know
2,"['Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nWhy the sudden change?', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nBetta say my name', 'Any other day I would call you would say\n""Baby how\'s your day?"" But today it ain\'t the same\nEvery other word is a uh hun, yeah okay\nCould it be that you are at the crib wit another lady?\nIf you took it there, first of all let me say\n""I am not the one to sit around and be played""\nSo prove yourself to me and the girl that your playin\'\nWhy don\'t you say the things that you said to me yesterday?', ""I know you sayin' I'm assuming things\nSomething's goin' down that's the way it seems\nShouldn't be a reason why your acting strange\nNobody's holding you back from me\n'Cause I know how you usually do\nWhen you sayin' everything to me times 2\nWhy can't you just tell the truth?\nIf somebody's there tell me who"", 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nWhy the sudden change?', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nBetta say my name', ""What is up wit this, tell the truth who you with?\nHow would you like it if I came over wit my clique?\nDon't try to change it, now see you got to bounce\nWhen 2 seconds ago you said you just got in the house\nIt's so hard to believe that you were home by yourself\nWhen I just heard the voice, heard the voice of someone else\nJust this question, why do you feel you got to lie?\nYou caught up in your game, you cannot say my name"", ""I know you sayin' I'm assuming things\nSomething's goin' down that's the way it seems\nShouldn't be a reason why your acting strange\nIf nobody's holding you back from me\n'Cause I know how you usually do\nWhen you sayin' everything to me times 2\nWhy can't you just tell the truth?\nIf somebody's there tell me who"", 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nWhy the sudden change?', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nBetta say my name', 'Yeah yeah yeah yeah\nYeah yeah yeah yeah\nYeah yeah yeah\nOh', ""I know you sayin' I'm assuming things\nSomething's goin' down that's the way it seems\nShouldn't be a reason why your acting strange\nIf nobody's holding you back from me\n'Cause I know how you usually do\nWhen you sayin' everything to me times 2\nWhy can't you just tell the truth?\nIf somebody's there tell me who"", 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nWhy the sudden change?', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nBetta say my name', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nWhy the sudden change?', 'Say my name, say my name\nIf no one is around you, say, ""Baby I love you""\nIf you ain\'t runnin\' game\nSay my name, say my name\nYou acting kind of shady, ain\'t callin\' me baby\nBetta say my name', ""Thou shall know she can't love you""]",Destiny’s Child,Say My Name
3,"[""Hmm ohh\nMaybe it's intuition\nSomethings you just don't question\nLike in your eyes, I see my future in an instant\nAnd there it goes, I think I've found my best friend"", 'I know that it might sound\nMore than a little crazy but I believe', 'I knew I loved you before I met you\nI think I dreamed you into life\nI knew I loved you before I met you\nI have been waiting all my life', ""There's just no rhyme or reason\nOnly a sense of completion\nAnd in your eyes, I see the missing pieces\nI'm searching for, I think I've found my way home"", 'I know that it might sound\nMore than a little crazy but I believe', 'I knew I loved you before I met you\nI think I dreamed you into life\nI knew I loved you before I met you\nI have been waiting all my life', '(Ooh hoo ooo, hoo hoo ooo ooh)\nA thousand angels dance around you\n(Ooh hoo, hoo ooo hoo ooo hoo hoo hoo)\nI am complete now that I have found you', 'I knew I loved you before I met you\nI think I dreamed you into life\nI knew I loved you before I met you\nI have been waiting all my life', 'I knew I loved you before I met you\nI think I dreamed you into life\nI knew I loved you before I met you\nI have been waiting all my life\nI knew I loved you before I met you, I knew I loved you (Ooh hoo ooo, hoo hoo ooo)\nI knew I loved you before I met you, I knew I loved you (Ooh hoo ooo, hoo hoo hoo)\nI knew I loved you before I met you (Oh oh, ohh ohh, oh oh oh ay ay yea oh)\nI knew I loved you before I met you, I knew I loved you\nI knew I loved you before I met you']",Savage Garden,I Knew I Loved You
4,"['Every time our eyes meet\nThis feeling inside me\nIs almost more than I can take\nBaby when you touch me\nI can feel how much you love me\nAnd it just blows me away', ""I've never been this close to anyone or anything\nI can hear your thoughts\nI can see your dreams"", ""I don't know how you do what you do"", ""I'm so in love with you\nIt just keeps getting better\nI wanna spend the rest of my life"", 'With you by my side\nForever and ever', ""Every little thing that you do\nBaby I'm amazed by you"", 'The smell of your skin\nThe taste of your kiss\nThe way you whisper in the dark', 'Your hair all around me\nBaby you surround me\nYou touch every place in my heart\nOh it feels like the first time every time\nI wanna spend the whole night in your arms', ""I don't know how you do what you do\nI'm so in love with you"", 'It just keeps getting better\nI wanna spend the rest of my life', ""With you by my side\nForever and ever\nEvery little thing that you do\nBaby I'm amazed by you"", ""Every little thing that you do\nI'm so in love with you\nIt just keeps getting better\nI wanna spend the rest of my life\nWith you by my side\nForever and ever\nEvery little thing that you do\nOh, yeah every little thing that you do\nBaby I'm amazed by you""]",Lonestar,Amazed
5,"['If I fall along the way\nPick me up and dust me off\nAnd if I get too tired to make it\nBe my breath so I can walk', ""If I need some other love\nGive me more than I can stand\nAnd when my smile gets old and faded\nWait around I'll smile again"", ""Shouldn't be so complicated\nJust hold me and then\nJust hold me again"", ""Can you help me I'm bent\nI'm so scared that I'll never\nGet put back together"", 'Keep breaking me in\nAnd this is how we will end\nWith you and me bent', ""If I couldn't sleep could you sleep\nCould you paint me better off\nCould you sympathize with my needs\nI know you think I need a lot"", ""I started out clean but I'm jaded\nJust phoning it in\nJust breaking the skin"", ""Can you help me I'm bent\nI'm so scared that I'll never\nGet put back together"", 'Keep breaking me in\nAnd this is how we will end\nWith you and me bent', ""Start bending me\nIt's never enough\nI feel all your pieces"", ""Start bending me\nKeep bending me until I'm completely broken in"", ""Shouldn't be so complicated\nJust touch me and then\nJust touch me again"", ""Can you help me I'm bent\nI'm so scared that I'll never\nGet put back together\nKeep breaking me in\nAnd this is how we will end\nWith you and me livin' without understandin'\nCan I go there again\nCan you help me I'm bent\nI'm so scared that I'll never\nGet put back together\nYeah, You're breaking me in\nAnd this is how we will end\nWith you and me bent""]",matchbox twenty,Bent
6,"[""Darkchild yeah, oh yeah\nToni Braxton, oh\nHa-ha, uh-huh\nYeah, uh, uh\nDarkchild yeah\nListen girl, who do you think I am?\nDon't you know that he was my man?\nBut I chose to let him go\nSo why do you act like I still care about him?\nLooking at me like I'm hurt\nWhen I'm the one who said I didn't want it to work"", ""Don't you forget I had him first!\nWhat you thinkin', stop blaming me\nHe wasn't man enough for me\nIf you don't know now here's your chance\nI've already had your man\nDo you wonder just where he's been, yeah\nDo not be worried about him\nNow it's time you know the truth"", ""I think he's just the man for you\nWhat are you thinking?\nDid you know about us back then?\nDo you know I dumped your husband, girlfriend?\nI'm not thinking 'bout him, but you married him\nDo you know I made him leave\nDo you know he begged to stay with me"", ""He wasn't man enough for me\nListen girl, didn't he tell you the truth?\nIf not then why don't you ask him\nThen maybe you can be more into him, Instead of worrying about me\nAnd hopefully you won't find\nAll of the reasons why his love didn't count\nAnd why we couldn't work it out\nWhat you thinkin', stop blaying me"", ""He wasn't man enough for me\nIf you don't know now here's chance\nSee I've already had your man\nDo you wonder just where he's been, yeah\nDo not be worried about him\nNow it's time you know the truth\nI think he's just the man for you\nWhat are you thinking"", ""Did you know about us back then\nDo you know I dumped your husband, girlfriend\nI'm not thinking 'bout him, but you married him\nDo you know I made him leave\nDo you know he begged to stay with me\nHe wasn't man enough for me\nWhat are you thinking"", ""Did you know about us back them\nDo you know I dumped your husband, girlfriend\nI'm not thinking 'bout him, but you married him\nDo you know I made him leave\nDo you know he begged to stay with me\nHe wasn't man enough for me\nOh yeah"", ""So many reasons why our love is through, yeah\nWhat makes you think he'll be good to you, no\nIt makes no sense cause he will never change\nGirl you better recognize the game, oh yeah\nWhat are you thinking\nDid you know about us back them\nDo you know I dumped your husband, girlfriend\nI'm not thinking 'bout him, but you married him\nDo you know I made him leave\nDo you know he begged to stay with me\nHe wasn't man enough for me\nx 2""]",Toni Braxton,He Wasn’t Man Enough
7,"['When dreaming, I\'m guided to another world, time and time again\nAt sunrise, I fight to stay asleep\n\'Cause I don\'t want to leave the comfort of this place\n\'Cause there\'s a hunger, a longing to escape\nFrom the life I live when I\'m awake\nSo let\'s go there, let\'s make our escape\nCome on, let\'s go there\nLet\'s ask ""can we stay?""', ""Can you take me higher\nto a place where blind men see?\nCan you take me higher\nto a place with golden streets?\nAlthough I would like our world to change\nIt helps me to appreciate those nights and those dreams\nBut, my friend, I'd sacrifice all those nights"", 'If I could make the Earth and my dreams the same', ""The only difference is, to let love replace all our hate\nSo let's go there, let's make our escape\nCome on, let's go there"", 'Let\'s ask ""can we stay?""\nCan you take me higher\nto a place where blind men see?\nCan you take me higher', 'to a place with golden streets?\nSo let\'s go there (Let\'s go there)\nLet\'s go there (Let\'s go there)\nCome on, let\'s go there (Let\'s go there)\nLet\'s ask ""can we stay?""\nUp high, I feel like I\'m alive for the very first time\nSail up high, I\'m strong enough\nTo take these dreams, and make them mine.', ""Sail up high, I'm strong enough\nTo take these dreams, and make them mine.\nCan you take me higher\nto a place where blind men see?\nCan you take me higher\nto a place with golden streets?""]",Creed,Higher
8,"[""It's been a long time, we shouldn't have left you\nWithout a dope beat to step to, step to, step to, step to\nStep to, step to, freaky-freaky"", 'What would you do, to get to me?\nWhat would you say, to have your way?\nWould you give up, or try again\nIf I hesitated to let you in?\nNow would you be yourself or play your role?\nTell all the boys, I keep it low\nIf I say no, would you turn away\nOr play me off, or would you stay?', ""And if at first you don't succeed\nThen dust yourself off and try again\nYou can dust it off and try again, try again\nCause if at first you don't succeed\nYou can dust it off and try again\nDust yourself off and try again, try again (and again)"", ""I'm in to you, you into me\nBut I can't let it go so easily\nNot 'til I see, whether this could be\nCould be eternity, or just a week\nAyo our chemistry is off the chain\nIt's perfect now, but will it change?\nThis ain't a yes, this ain't a no\nJust do your thing, we'll see how it goes"", ""You don't wanna throw it all away\nI might be shy on the first date, what about the next date\nHuh, huh, huh, huh\nI said you don't wanna throw it all away\nI might be bugging on the first date, what about the next date?\nHuh, huh, huh, huh"", ""It's been a long time, we shouldn't have left you\nWithout a dope beat to step to\nStep to, step to, step to, step to\nStep to, step to, freaky-freaky"", ""It's been a long time, we shouldn't have left you\nWithout a dope beat to step to\nStep to, step to, step to, step to\nStep to, step to, freaky-freaky"", 'TRACK INFO']",Aaliyah,Try Again
9,"[""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", ""Though he say he got a girl\nYes true you got a man\nBut the party ain't gon' stop\nSo let's make it hot hot"", ""Last week and you stayed at home alone and lonely\nCouldn't find your man he was chilling with his homies\nThis weekend you're goin' out\nIf he try to stop you you're going off\nYou got ya hair done and ya nails done too\nWith your outfit and you're fitting the shoes\nWho parlaying at the hottest spot tonight\nYou're gonna find the brothas rollin' in the Lexus, trucks and Hummers"", ""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", ""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", ""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", ""Call your boys 'cause tonight you're not gon' stay at home\nSo tell your girl she ain't coming tonight you're goin' solo\nCut her off 'cause she talks some noise you know you've\nGot the right to get your party on so get your hair cut\nAnd your car washed too, looking\nLike a star in your Armani suit\nYou need to\nLook your best cause you're turnin' heads tonight\nYou're gonna\nFind a sexy chica that's gon' dance all night if you wanna"", ""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", 'Sexy women do your dance\nFly ladies work your man\nAll them fellas time to clown\nWe can get down now', ""Though he say he got a girl\nYes true you got a man\nBut the party ain't gon' stop\nSo let's make it hot hot"", 'Bounce with me, bounce bounce bounce twirk it twirk it\nShake baby shake sha shake sha shake work it work it\nTwist baby twist twist twist you better dip that thang\nBounce with me, bounce bounce bounce twirk it twirk it\nShake baby shake sha shake sha shake work it work it\nTwist baby twist twist twist you better dip that thang', 'Sexy women do your dance\nFly ladies work your man\nAll them fellas time to clown\nWe can get down now', ""Ladies leave your man at home\nThe club is full of ballas and they pockets full grown\nAnd all you fellas leave your girl with her friends\n'Cause it's 11: 30 and the club is jumpin', jumpin'"", 'Thou shall say my name']",Destiny’s Child,Jumpin Jumpin’
