,Number,Artist,Song,Year
0,1,Faith Hill,Breathe,2000
1,2,Santana feat. Rob Thomas,Smooth,2000
2,3,Santana feat. The Product GandB,Maria Maria,2000
3,4,Joe,I Wanna Know,2000
4,5,Vertical Horizon,Everything You Want,2000
5,6,Destiny’s Child,Say My Name,2000
6,7,Savage Garden,I Knew I Loved You,2000
7,8,Lonestar,Amazed,2000
8,9,matchbox twenty,Bent,2000
9,10,Toni Braxton,He Wasn’t Man Enough,2000
10,11,Creed,Higher,2000
11,12,Aaliyah,Try Again,2000
12,13,Destiny’s Child,Jumpin Jumpin’,2000
13,14,Sisqo,Thong Song,2000
14,15,3 Doors Down,Kryptonite,2000
15,16,Pink,There You Go,2000
16,17,Madonna,Music,2000
17,18,Janet,Doesn’t Really Matter,2000
18,19,Christina Aguilera,What A Girl Wants,2000
19,20,Brian McKnight,Back At One,2000
20,21,‘N Sync,Bye Bye Bye,2000
21,22,Marc Anthony,You Sang To Me,2000
22,23,Marc Anthony,I Need To Know,2000
23,24,Montell Jordan,Get It On Tonite,2000
24,25,Sisqo,Incomplete,2000
25,26,Macy Gray,I Try,2000
26,27,‘N Sync,It’s Gonna Be Me,2000
27,28,Celine Dion,That’s The Way It Is,2000
28,29,Nelly,(Hot S**T) Country Grammar,2000
29,30,Blaque,Bring It All To Me,2000
30,31,Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
31,32,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz,2000
32,33,BBMak,Back Here,2000
33,34,Sonique,It Feels So Good,2000
34,35,Nine Days,Absolutely (Story Of A Girl),2000
35,36,Creed,With Arms Wide Open,2000
36,37,Enrique Iglesias,Be With You,2000
37,38,Christina Aguilera,Come On Over Baby (All I Want Is You),2000
38,39,Ruff Endz,No More,2000
39,40,Blink 182,All The Small Things,2000
40,41,Faith Hill,The Way You Love Me,2000
41,42,Christina Aguilera,I Turn To You,2000
42,43,Third Eye Blind,Never Let You Go,2000
43,44,LeAnn Rimes,I Need You,2000
44,45,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You,2000
45,46,Jagged Edge,Let’s Get Married,2000
46,47,Whitney Houston,My Love Is Your Love,2000
47,48,Smash Mouth,Then The Morning Comes,2000
48,49,iffel 65,Blue (Da Ba Dee),2000
49,50,Sting feat. Cheb Mami,Desert Rose,2000
50,51,Eminem,The Real Slim Shady,2000
51,52,Pink,Most Girls,2000
52,53,Next,Wifey,2000
53,54,Everclear,Wonderful,2000
54,55,Britney Spears,Oops!… I Did It Again,2000
55,56,Jessica Simpson,I Wanna Love You Forever,2000
56,57,98 Degrees,Give Me Just One Night (Una Noche ),2000
57,58,Filter,Take A Picture,2000
58,59,Red Hot Chili Peppers,Otherside,2000
59,60,Jay-Z feat. UGK,Big Pimpin’,2000
60,61,Son By Four,Purest Of Pain (A Puro Dolor),2000
61,62,Jagged Edge,He Can’t Love U,2000
62,63,Avant,Separated,2000
63,64,Carl Thomas,I Wish,2000
64,65,Donell Jones,U Know What’s Up,2000
65,66,SoulDecision feat. Thrust,Faded,2000
66,67,Kid Rock,Only God Knows Why,2000
67,68,Mystikal,Shake Ya Ass,2000
68,69,Erykah Badu,Bag Lady,2000
69,70,Train,Meet Virginia,2000
70,71,DMX,Party Up (Up In Here),2000
71,72,Mya,Case Of The Ex (Whatcha Gonna Do),2000
72,73,Dr. Dre feat. Eminem,Forget About Dre,2000
73,74,Jo Dee Messina,That’s The Way,2000
74,75,Westlife,Swear It Again,2000
75,76,Dr. Dre feat. Snoop Dogg,The Next Episode,2000
76,77,Britney Spears,From The Bottom Of My Broken Heart,2000
77,78,Savage Garden,Crash And Burn,2000
78,79,Chad Brock,Yes!,2000
79,80,George Strait,The Best Day,2000
80,81,Donell Jones,Where I Wanna Be,2000
81,82,Toby Keith,How Do You Like Me Now?!,2000
82,83,Tim McGraw,My Best Friend,2000
83,84,Goo Goo Dolls,Broadway,2000
84,85,Da Brat feat. Tyrese,What’chu Like,2000
85,86,Kandi,Don’t Think I’m Not,2000
86,87,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2000
87,88,Alice Deejay,Better Off Alone,2000
88,89,Debelah Morgan,Dance With Me,2000
89,90,Lonestar,What About Now,2000
90,91,Sammie,I Like It,2000
91,92,Kevon Edmonds,24/7,2000
92,93,LFO,Girl On TV,2000
93,94,Lil Bow Wow feat. Xscape,Bounce With Me,2000
94,95,Dixie Chicks,Cowboy Take Me Away,2000
95,96,Aaliyah,I Don’t Wanna,2000
96,97,Destiny’s Child,Independent Women Part I,2000
97,98,Samantha Mumba,Gotta Tell You,2000
98,99,Jennifer Lopez,Waiting For Tonight,2000
99,100,Mary Mary,Shackles (Praise You),2000
100,101,Lifehouse,Hanging By A Moment,2001
101,102,Alicia Keys,Fallin’,2001
102,103,Janet,All For You,2001
103,104,Train,Drops Of Jupiter (Tell Me),2001
104,105,Jennifer Lopez feat. Ja Rule,I’m Real,2001
105,106,matchbox twenty,If You’re Gone,2001
106,107,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
107,108,Dido,Thank You,2001
108,109,Lenny Kravitz,Again,2001
109,110,Destiny’s Child,Independent Women Part I,2001
110,111,Blu Cantrell,Hit ‘Em Up Style (Oops!),2001
111,112,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,2001
112,113,Joe feat. Mystikal,Stutter,2001
113,114,Staind,It’s Been Awhile,2001
114,115,Usher,U Remind Me,2001
115,116,Jagged Edge With Nelly,Where The Party At,2001
116,117,Shaggy feat. Rayvon,Angel,2001
117,118,Nelly feat. City Spud,Ride Wit Me,2001
118,119,Uncle Kracker,Follow Me,2001
119,120,112,Peaches & Cream,2001
120,121,Incubus,Drive,2001
121,122,City High,What Would You Do?,2001
122,123,Destiny’s Child,Survivor,2001
123,124,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade,2001
124,125,Outkast,Ms. Jackson,2001
125,126,Jennifer Lopez,Love Don’t Cost A Thing,2001
126,127,Faith Hill,The Way You Love Me,2001
127,128,Dream,He Loves U Not,2001
128,129,Crazy Town,Butterfly,2001
129,130,Ja Rule feat. Lil’ Mo and Vita,Put It On Me,2001
130,131,Mary J. Blige,Family Affair,2001
131,132,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2001
132,133,Moby feat. Gwen Stefani,South Side,2001
133,134,Madonna,Don’t Tell Me,2001
134,135,Missy “Misdemeanor” Elliott,Get Ur Freak On,2001
135,136,K-Ci and JoJo,Crazy,2001
136,137,Craig David,Fill Me In,2001
137,138,Janet,Someone To Call My Lover,2001
138,139,Creed,With Arms Wide Open,2001
139,140,Mya,Case Of The Ex (Whatcha Gonna Do),2001
140,141,O-Town,All Or Nothing,2001
141,142,Destiny’s Child,Bootylicious,2001
142,143,Nelly Furtado,I’m Like A Bird,2001
143,144,3 Doors Down,Kryptonite,2001
144,145,R. Kelly feat. Jay-Z,Fiesta,2001
145,146,Sugar Ray,When It’s Over,2001
146,147,Aerosmith,Jaded,2001
147,148,Jagged Edge,Promise,2001
148,149,Case,Missing You,2001
149,150,Ginuwine,Differences,2001
150,151,‘N Sync,This I Promise You,2001
151,152,Jay-Z,Izzo (H.O.V.A.),2001
152,153,Lil’ Mo feat. Fabolous,Superwoman Pt. II,2001
153,154,Evan And Jaron,Crazy For This Girl,2001
154,155,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,2001
155,156,Jay-Z,I Just Wanna Love U (Give It 2 Me),2001
156,157,Missy “Misdemeanor” Elliott,One Minute Man,2001
157,158,Mystikal feat. Nivea,Danger (Been So Long),2001
158,159,Enya,Only Time,2001
159,160,Toya,I Do!!,2001
160,161,S Club 7,Never Had A Dream Come True,2001
161,162,Tamia,Stranger In My House,2001
162,163,Jessica Simpson,Irresistible,2001
163,164,Sunshine Anderson,Heard It All Before,2001
164,165,Dave Matthews Band,The Space Between,2001
165,166,Faith Hill,There You’ll Be,2001
166,167,Musiq Soulchild,Love,2001
167,168,112,It’s Over Now,2001
168,169,3LW,No More (Baby I’ma Do Right),2001
169,170,Nelly Furtado,Turn Off The Light,2001
170,171,Brooks and Dunn,Ain’t Nothing `Bout You,2001
171,172,Jennifer Lopez,Play,2001
172,173,Lonestar,I’m Already There,2001
173,174,Lil’ Romeo,My Baby,2001
174,175,U2,Beautiful Day,2001
175,176,Blake Shelton,Austin,2001
176,177,Ludacris,Southern Hospitality,2001
177,178,Tim McGraw,Grown Men Don’t Cry,2001
178,179,Ja Rule feat. Case,Livin’ It Up,2001
179,180,Mariah Carey feat. Cameo,Loverboy,2001
180,181,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,2001
181,182,Jessica Andrews,Who I Am,2001
182,183,Erick Sermon feat. Marvin Gaye,Music,2001
183,184,Willa Ford,I Wanna Be Bad,2001
184,185,Kenny Chesney,Don’t Happen Twice,2001
185,186,Diamond Rio,One More Day,2001
186,187,R. Kelly,I Wish,2001
187,188,Travis Tritt,It’s A Great Day To Be Alive,2001
188,189,Trick Daddy,I’m A Thug,2001
189,190,Eve 6,Here’s To The Night,2001
190,191,Toby Keith,You Shouldn’t Kiss Me Like This,2001
191,192,Eden’s Crush,Get Over Yourself,2001
192,193,Debelah Morgan,Dance With Me,2001
193,194,Outkast,"So Fresh, So Clean",2001
194,195,Nelly,E.I.,2001
195,196,3 Doors Down,Be Like That,2001
196,197,Pink,Most Girls,2001
197,198,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,2001
198,199,Enrique Iglesias,Hero,2001
199,200,Fuel,Hemorrhage (In My Hands),2001
200,201,Nickelback,How Your Remind Me,2002
201,202,Ashanti,Foolish,2002
202,203,Nelly,Hot in Herre,2002
203,204,Nelly feat. Kelly Rowland,Dilemma,2002
204,205,The Calling,Wherever you Will Go,2002
205,206,Vanessa Carlton,A Thousand Miles,2002
206,207,Linkin Park,In the End,2002
207,208,Fat Joe feat. Ashanti,What’s Luv?,2002
208,209,Usher,U Got it Bad,2002
209,210,Puddle Of Mudd,Blurry,2002
210,211,Avril Lavigne,Complicated,2002
211,212,Ja Rule feat. Ashanti,Always on Time,2002
212,213,Jennifer Lopez feat. Ja Rule,Ain’t it Funny,2002
213,214,Jimmy Eat World,The Middle,2002
214,215,P. Diddy feat. Usher and Loon,I Need a Girl (Part One),2002
215,216,Usher,U Don’t have to Call,2002
216,217,Mary J. Blige,Family Affair,2002
217,218,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two),2002
218,219,Eve feat. Alicia Keys,Gangsta Lovin’,2002
219,220,Creed,My Sacrifice,2002
220,221,Eminem,Without Me,2002
221,222,Enrique Iglesias,Hero,2002
222,223,Michelle Branch,All You Wanted,2002
223,224,Pink,Get the Party Started,2002
224,225,Chad Kroeger feat. Josey Scott,Hero,2002
225,226,Default,Wasting My Time,2002
226,227,Creed,One Last Breath,2002
227,228,Shakira,"Whenever, Wherever",2002
228,229,Jennifer Lopez feat. Nas,I’m Gonna Be Alright,2002
229,230,Cam’ron feat. Juelz Santana,Oh Boy,2002
230,231,DJ Sammy and Yanou feat. Do,Heaven,2002
231,232,No Doubt feat. Bounty Killer,Hey Baby,2002
232,233,‘N Sync feat. Nelly,Girlfriend,2002
233,234,Mario,Just a Friend 2002,2002
234,235,Sheryl Crow,Soak up the Sun,2002
235,236,Pink,Don’t Let Me Get Me,2002
236,237,N.O.R.E.,Nothin’,2002
237,238,Tweet,Oops (Oh My),2002
238,239,Kelly Clarkson,A Moment Like This,2002
239,240,Truth Hurts feat. Rakim,Addictive,2002
240,241,Ashanti,Happy,2002
241,242,John Mayer,No Such Thing,2002
242,243,Pink,Just Like a Pill,2002
243,244,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U,2002
244,245,Kylie Minogue,Can’t Get You Out Of My Head,2002
245,246,Five For Fighting,Superman (It’s not Easy),2002
246,247,Eminem,Cleanin’ out my Closet,2002
247,248,Musiq,Halfcrazy,2002
248,249,Mr. Cheeks,"Lights, Camera, Action!",2002
249,250,Big Tymers,Still Fly,2002
250,251,Alicia Keys,A Woman’s Worth,2002
251,252,Craig David,7 Days,2002
252,253,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma,2002
253,254,Missy “Misdemeanor” Elliott,Work It,2002
254,255,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch,2002
255,256,LeAnn Rimes,Can’t Fight the Moonlight,2002
256,257,Enrique Iglesias,Escape,2002
257,258,Aaliyah,More than a Woman,2002
258,259,No Doubt,Hello Good,2002
259,260,Faith Evans,I Love You,2002
260,261,Daniel Bedingfield,Gotta Get Thru This,2002
261,262,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II,2002
262,263,Eminem,Lose Yourself,2002
263,264,Michael Jackson,Butterflies,2002
264,265,Brandy,What About Us?,2002
265,266,Shakira,Underneath your Clothes,2002
266,267,Mary J. Blige feat. Ja Rule,Rainy Dayz,2002
267,268,Ginuwine,Differences,2002
268,269,Angie Martinez feat. Lil’ Mo and Sacario,If I could Go!,2002
269,270,OutKast feat. Killer Mike,The Whole World,2002
270,271,No Doubt feat. Lady Saw,Underneath it All,2002
271,272,City High feat. Eve,Caramel,2002
272,273,LL Cool J,Luv U Better,2002
273,274,Sean Paul,Gimme the Light,2002
274,275,‘N Sync,Gone,2002
275,276,Ja Rule feat. Case,Livin’ it Up,2002
276,277,Ludacris,Roll Out (My Business),2002
277,278,Goo Goo Dolls,Here is Gone,2002
278,279,Mary J. Blige,No More Drama,2002
279,280,Dirty Vegas,Days go By,2002
280,281,Ashanti,Baby,2002
281,282,Kenny Chesney,The Good Stuff,2002
282,283,Fat Joe feat. R. Kelly,We Thuggin’,2002
283,284,Steve Holy,Good Morning Beautiful,2002
284,285,Aaliyah,Rock the Boat,2002
285,286,Alan Jackson,Drive (For Daddy Gene),2002
286,287,Jewel,Standing Still,2002
287,288,Jaheim feat. Next,Anything,2002
288,289,Brandy,Full Moon,2002
289,290,B2K,Uh Huh,2002
290,291,Celine Dion,A New Day has Come,2002
291,292,Nelly Furtado,Turn Off the Light,2002
292,293,George Strait,Living and Living Well,2002
293,294,Toby Keith,My List,2002
294,295,Alanis Morissette,Hands Clean,2002
295,296,Avril Lavigne,Sk8er Boi,2002
296,297,Dixie Chicks,Long Time Gone,2002
297,298,Alan Jackson,Where Were You (When the World Stopped Turning),2002
298,299,Justin Timberlake,Like I Love You,2002
299,300,Toya,I Do!!,2002
300,301,50 Cent,In Da Club,2003
301,302,R. Kelly,Ignition,2003
302,303,Sean Paul,Get Busy,2003
303,304,Beyonce feat. Jay-Z,Crazy in Love,2003
304,305,3 Doors Down,When I’m Gone,2003
305,306,matchbox twenty,Unwell,2003
306,307,Chingy,Right Thurr,2003
307,308,Aaliyah,Miss You,2003
308,309,Kid Rock feat. Sheryl Crow,Picture,2003
309,310,Evanescence feat. Paul McCoy,Bring me to Life,2003
310,311,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2003
